pair_id,claim,CS_gen,CS_ed,generation_strategy,target,antistereotype_id,fc_article_id,annotator_type,fc_article_url,antistereotype_url,antistereotype_location,HTER
2019,Did you see that photo of over a hundred illegals caught at the US border? It shows how out of control the situation is!,"While it may seem alarming to see a large number of people at the border, it’s important to recognize that many immigrants are fleeing persecution and violence, and they are simply seeking safety and a chance for a better life. In fact, the number of unauthorized immigrants from Mexico has been declining, and the total number of immigrants in the U.S. remains stable, indicating a complex reality that goes beyond a single image.","While it may seem alarming to see a large number of people at the border, it’s important to recognize that many immigrants are fleeing persecution and violence, and they are simply seeking safety and a chance for a better life. In fact, the number of unauthorized immigrants from Mexico has been declining, and the total number of immigrants in the U.S. remains stable, indicating a complex reality that goes beyond a single image. Couldn't we consider that, rather than causing problems, they are simply experiencing the same structural issues that affect vulnerable nationals?",NGO,migrants,"[93, 100, 105, 106]",,NGO,,"['https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration']","['6', '1', '7', '8']",0.274
2512,Did you see that photo of the old Muslim man who married his own daughter? Their marriage rituals are so disgusting!,"It's important to clarify that the claim about the old man marrying his daughter is false; the girl is actually a 16-year-old who was married to him for financial reasons, and her mother sought help after the girl reported mistreatment. Furthermore, we must recognize that the oppression of women in some contexts is often driven by cultural practices rather than Islamic teachings, as the Quran advocates for equality and empowers women with rights such as the ability to refuse marriage and pursue education.","It's important to clarify that the claim about the old man marrying his daughter is false; the girl is actually a 16-year-old who was married to him for financial reasons, and her mother sought help after the girl reported mistreatment. Furthermore, we must recognize that the oppression of women in some contexts is often driven by cultural practices rather than Islamic teachings, as the Quran advocates for equality and empowers women with rights such as the ability to refuse marriage and pursue education.",NGO + Fact-Checkers,muslims,"[4, 6, 31, 34, 38]",2815.0,NGO,https://factly.in/the-75-year-old-man-in-the-photo-is-not-the-girls-father/,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://medium.com/@jawadakhtar/myths-associated-with-muslim-weddings-1e52c5755ef0', 'https://medium.com/@jawadakhtar/myths-associated-with-muslim-weddings-1e52c5755ef4']","['4', '2', '4', '1', '5']",0.0
1869,Did you see that photo of the old Muslim man who married his own daughter? Their marriage rituals are so disgusting!,"The claim that the old man married his own daughter is false; in reality, the 75-year-old man is not related to the 16-year-old girl, who was married to him for a substantial dowry. This case gained attention when the girl's mother sought police help due to concerns about her daughter's well-being in the marriage.","The claim that the old man married his own daughter is false; in reality, the 75-year-old man is not related to the 16-year-old girl, who was married to him for a substantial dowry. This case gained attention when the girl's mother sought police help due to concerns about her daughter's well-being in the marriage.",Fact-Checkers,muslims,,2815.0,FC,https://factly.in/the-75-year-old-man-in-the-photo-is-not-the-girls-father/,,,0.0
2491,Did you see that photo of the old Muslim man who married his own daughter? Their marriage rituals are so disgusting!,"It's important to challenge the harmful stereotype that suggests all Muslim marriages involve oppressive practices; in fact, the Quran promotes gender equality and grants women the right to make choices about their lives and relationships. Many Muslim women today actively participate in redefining cultural norms and advocating for their rights, showing that they are not defined by negative portrayals but are vibrant agents of change in their communities.","I haven't seen that photo specifically, but it's important to challenge the harmful stereotype that suggests all Muslim marriages involve oppressive practices; in fact, the Quran promotes gender equality and explicitly states that women have the right to refuse a prospective husband. Moreover, there are many myths about Muslim marriages specifically: for example, a man does not even have a right to marry his wife’s sister, in case his wife is still alive.",NGO,muslims,"[4, 6, 31, 34, 38]",,NGO,,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://medium.com/@jawadakhtar/myths-associated-with-muslim-weddings-1e52c5755ef0', 'https://medium.com/@jawadakhtar/myths-associated-with-muslim-weddings-1e52c5755ef4']","['4', '2', '4', '1', '5']",0.691
2446,Did you see that protest? They had a placard saying ‘Make India a Muslim nation'. They want to turn our country into an Islamic state!,"It's important to clarify that the claim about a placard advocating for India to be a Muslim nation is based on a photoshopped image, as the original message was actually about job security and basic needs, which reflects the concerns of many citizens across communities. Furthermore, Muslims, like all other groups, seek to live in harmony and contribute positively to society, and the majority denounce any misuse of their faith for extremist purposes, highlighting the need for accurate representations rather than misleading narratives.","It's important to clarify that the claim about a placard advocating for India to be a Muslim nation is based on a photoshopped image. As the original message was actually about job security and basic needs, which reflects the concerns of many citizens across communities. Furthermore, Muslims, like all other groups, seek to live in harmony and contribute positively to society, and the majority denounce any misuse of their faith for extremist purposes, highlighting the need for accurate representations rather than misleading narratives.",NGO + Fact-Checkers,muslims,"[27, 33]",2868.0,FC,https://factly.in/remove-cab-make-india-a-muslim-nation-placard-found-at-priyanka-gandhis-anti-caa-protest-is-photoshopped/,"['https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/']","['3', '6']",0.024
2571,Did you see that protest? They had a placard saying ‘Make India a Muslim nation'. They want to turn our country into an Islamic state!,"The claim that a placard at Priyanka Gandhi's anti-CAA protest called for making India a Muslim nation is false; the original placard read ""Not lathis and bullets, give us jobs and roti."" This misinformation stemmed from a photoshopped image, as verified by multiple sources that captured the event, showing no placards advocating for an Islamic state.","The claim that a placard at Priyanka Gandhi's anti-CAA protest called for making India a Muslim nation is false; the original placard read ""Not lathis and bullets, give us jobs and roti."" This misinformation stemmed from a photoshopped image, as verified by multiple sources that captured the event, showing no placards advocating for an Islamic state.",Fact-Checkers,muslims,,2868.0,FC,https://factly.in/remove-cab-make-india-a-muslim-nation-placard-found-at-priyanka-gandhis-anti-caa-protest-is-photoshopped/,,,0.0
1978,Did you see that protest? They had a placard saying ‘Make India a Muslim nation'. They want to turn our country into an Islamic state!,"It's important to remember that the call for a particular kind of nation does not reflect the views of all individuals within a community. The majority of Muslims worldwide condemn extremist ideologies and are often the first victims of violence, demonstrating that their faith is about compassion and peace, not conquest.","It's important to remember that a call for a specific type of nation does not represent the views of every individual in a community. The majority of Muslims worldwide condemn extremist ideologies and are often the first victims of violence. This demonstrates that their faith is based on compassion and peace, not conquest.",NGO,muslims,"[27, 33]",,NGO,,"['https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/']","['3', '6']",0.235
2106,Did you see that shooter in Nashville? That's what happens when you let trans people into society. They are mentally ill!,"It is false to claim that the Nashville shooter represents trans people or that they are mentally ill; the photograph circulating online misidentified the person holding a sign as the shooter, whereas that individual was actually participating in a protest in Oklahoma City. Additionally, mental health issues affect individuals across all demographics, and attributing such issues specifically to trans individuals perpetuates harmful stereotypes without basis in fact.","The photo does not represent the shooter of Nashville, but an individual participating in a protest in Oklahoma City. Moreover, mental health issues affect individuals across all demographics, and attributing such issues specifically to trans individuals is baseless. ",Fact-Checkers,LGBTQIA+ community,,732.0,FC,https://apnews.com/article/fact-check-nashville-shooter-photo-421377868208,,,0.612
2514,Did you see that shooter in Nashville? That's what happens when you let trans people into society. They are mentally ill!,"It's crucial to understand that the shooter in Nashville was mischaracterized and that misinformation has been widely circulated. There is no evidence linking trans identity to violent behavior; in fact, studies show that the mental health challenges faced by transgender individuals are largely a result of societal discrimination, not an inherent predisposition to violence.","Actually, this claim is false: a photo taken at a peaceful protest in Oklahoma is wrongfully being used to misidentify the shooter as a transgender person. Also, there is no evidence linking trans identity to violence or mental illness; in fact, studies show that the mental health challenges faced by transgender individuals are largely a result of societal discrimination. ",NGO + Fact-Checkers,LGBTQIA+ community,"[204, 247, 248, 251]",732.0,NGO,https://apnews.com/article/fact-check-nashville-shooter-photo-421377868208,"['https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/']","['15', '1', '2', '5']",0.685
2506,Did you see that shooter in Nashville? That's what happens when you let trans people into society. They are mentally ill!,"It's important to challenge the harmful stereotype that links being transgender with violence; there is no evidence to support the idea that transgender individuals are a danger to society or children. In fact, studies show that transgender people, like all individuals, can lead healthy, productive lives and often thrive when treated with respect and support.","It's important to challenge the harmful stereotype that links being transgender with violence; there is no evidence to support the idea that transgender individuals are a danger to society. Instead, LGBTQIA+ people can be good parents, teachers, and role models. In fact, studies show that transgender people suffer from mental illness mostly due to discrimination, which causes them anxiety and depression. When treated with respect and support they can healthy, productive lives.",NGO,LGBTQIA+ community,"[204, 247, 248, 251]",,NGO,,"['https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/']","['15', '1', '2', '5']",0.618
2586,"Did you see that sign from the mosque that said 'Allah be praised, America we will kill you'? That's proof Muslims want to take over!","The claim about a mosque in Dearborn, Michigan displaying a sign that says ""Allah be praised, America we will kill you"" is false; this image has been debunked as a fabricated creation likely generated using an old online tool. Such misleading representations do not reflect the beliefs of Muslims, who make up a diverse community that largely advocates for peace and coexistence.","The image is not real: it has been circulating on the internet for years and it was probably originally generated using an old ""Church Sign Maker"" website. ",Fact-Checkers,muslims,,3902.0,FC,https://leadstories.com/hoax-alert/2019/04/fake-news-advancement-of-islamic-agenda-sign.html,,,0.919
2671,"Did you see that sign from the mosque that said 'Allah be praised, America we will kill you'? That's proof Muslims want to take over!","It is important to recognize that the actions of a small minority of extremists do not reflect the beliefs or intentions of the vast majority of Muslims, who actively condemn violence and promote peace. Just as in other religions, the radical interpretations of a few should not define the entirety of a faith that teaches compassion and respect for all humanity.","It is important to recognize that the actions of a small minority of extremists do not reflect the beliefs or intentions of the vast majority of Muslims, who actively condemn violence and promote peace. Just as in other religions, the radical interpretations of a few should not define the entirety of a faith that teaches compassion and respect for all humanity.",NGO,muslims,"[2, 5, 25, 27, 32, 33]",,NGO,,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '1', '1', '3', '5', '6']",0.0
2399,"Did you see that sign from the mosque that said 'Allah be praised, America we will kill you'? That's proof Muslims want to take over!","The sign you mentioned is actually a fabrication that has circulated online for years, created using a now-defunct ""Church Sign Maker"" website, and is not reflective of the beliefs of the vast majority of Muslims, who condemn violence in all its forms. Just as extremists exist in every religion, the overwhelming majority of Muslims reject violent interpretations of their faith and strive to promote peace and understanding, similar to how most Christians denounce the hate preached by groups like the Ku Klux Klan.","The sign you mentioned is actually a fabrication that has circulated online for years, created using a now-defunct ""Church Sign Maker"" website, and is not reflective of the beliefs of the vast majority of Muslims, who condemn violence in all its forms. Just as extremists exist in every religion, the overwhelming majority of Muslims reject violent interpretations of their faith and strive to promote peace and understanding, similar to how most Christians denounce the hate preached by groups like the Ku Klux Klan.",NGO + Fact-Checkers,muslims,"[2, 5, 25, 27, 32, 33]",3902.0,NGO,https://leadstories.com/hoax-alert/2019/04/fake-news-advancement-of-islamic-agenda-sign.html,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '1', '1', '3', '5', '6']",0.0
2088,Did you see that the shooter at the school had all those LGBT flags in their room? It's just another example of how sick and twisted they are!,"The claim that the room with LGBT flags belonged to the shooter is false; that image actually dates back to 2021 and has been misrepresented in relation to the tragic events in Nashville. Furthermore, while the shooter was identified as transgender, the motive for targeting the school was confirmed to be not personal but rather a broader act against the institution itself.","The photo of the room dates back to 2021, and the room did not belong to the shooter. It it true that the shooter was identified as transgender, but the motive for targeting the school has not been confirmed by the police.",Fact-Checkers,LGBTQIA+ community,,733.0,FC,https://apnews.com/article/fact-check-photo-bedroom-nashville-school-shooter-984231172549,,,0.645
2507,Did you see that the shooter at the school had all those LGBT flags in their room? It's just another example of how sick and twisted they are!,"It is important to understand that the mental health struggles some LGBT individuals face often arise from societal discrimination and stigma, rather than their identities themselves. Supporting LGBT people and fostering an inclusive environment can significantly reduce these challenges, leading to improved mental well-being for everyone.","No, I haven't seen it, but I know that it is not fair to make such generalizations. The mental health struggles some LGBTQIA+ individuals face often arise from societal discrimination and stigma, rather than their identities themselves. Supporting LGBT people and fostering an inclusive environment can significantly reduce these challenges, leading to improved mental well-being for them.",NGO,LGBTQIA+ community,"[247, 248, 251]",,NGO,,"['https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/']","['1', '2', '5']",0.391
2529,Did you see that the shooter at the school had all those LGBT flags in their room? It's just another example of how sick and twisted they are!,"It's important to clarify that the claim about the shooter having LGBT flags in their room is based on a widely circulated image that has been misidentified; it actually belongs to someone else and not the shooter. Furthermore, the narrative that links LGBT identity to violence only perpetuates harmful stereotypes, while evidence shows that mental health challenges in the LGBT community stem largely from discrimination, not their identities themselves.","Actually, the claim about the shooter having LGBTQIA+ flags in their room is based on a widely circulated image that has been miscaptiones. It actually belongs to someone else and not the shooter. Furthermore, the narrative that links LGBTQIA+ identity to mental illness only perpetuates harmful stereotypes, while evidence shows that mental health challenges in the LGBTQIA+ community stem mostly from anxiety caused by discrimination.",NGO + Fact-Checkers,LGBTQIA+ community,"[247, 248, 251]",733.0,NGO,https://apnews.com/article/fact-check-photo-bedroom-nashville-school-shooter-984231172549,"['https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/']","['1', '2', '5']",0.261
2228,Did you see that trans dude at Zagreb Pride? He was basically naked in a dress made of condoms and there were children around! That's disgusting!,"The claim that a trans person at Zagreb Pride was naked and posed a threat to children is false; in reality, the individual was wearing underwear, and Croatia's children's ombudsperson confirmed that children “were not directly threatened.” Additionally, there is no evidence to support the assertion that the LGBTQ+ community is engaging in any form of pedophilia or violating Croatian laws, as highlighted by the ombudsperson's statements regarding the event.","The claim that a trans person at Zagreb Pride was naked and posed a threat to children is false; in reality, the individual was wearing underwear, and Croatia's children's ombudsperson confirmed that children “were not directly threatened.” Additionally, there is no evidence to support the assertion that the LGBTQ+ community is engaging in any form of pedophilia or violating Croatian laws, as highlighted by the ombudsperson's statements regarding the event.",Fact-Checkers,LGBTQIA+ community,,1530.0,FC,https://croatian.leadstories.com/hoax-alert/2023/06/fact-check-zagreb-pride-reveller-was-not-naked-and-did-not-cause-harm-to-children.html,,,0.0
2672,Did you see that trans dude at Zagreb Pride? He was basically naked in a dress made of condoms and there were children around! That's disgusting!,"It's important to recognize that Pride events celebrate diversity and allow individuals to express their identities freely, which includes a range of creative expressions. Furthermore, being transgender is not inherently inappropriate, and there is no evidence to suggest that LGBTI people pose any danger to children; in fact, they can be positive role models and caring community members.","It's important to recognize that Pride events celebrate diversity and allow individuals to express their identities freely, which includes a range of creative expressions. Furthermore, being transgender is not inherently inappropriate, and there is no evidence to suggest that LGBTI people pose any danger to children; in fact, they can be positive role models and caring community members.",NGO,LGBTQIA+ community,"[204, 222, 225, 251]",,NGO,,"['https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://efcl.org/wp-content/uploads/2020/04/LGBTQ-Myth-Busting-the-LGBTQ-Community.pdf', 'https://efcl.org/wp-content/uploads/2020/04/LGBTQ-Myth-Busting-the-LGBTQ-Community.pdf', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/']","['15', '13', '16', '5']",0.0
2400,Did you see that trans dude at Zagreb Pride? He was basically naked in a dress made of condoms and there were children around! That's disgusting!,"It's important to clarify that the individual at Zagreb Pride was not naked but was wearing underwear, and the children's ombudsperson confirmed that children were not directly threatened during the event. Furthermore, the belief that LGBTQ+ people pose a danger to children is unfounded; studies show that they can be positive role models, just like their straight and cisgender counterparts, and such claims only serve to perpetuate harmful stereotypes without any evidence.","The person at Zagreb Pride was not naked but was wearing underwear, and the children's ombudsperson confirmed that children were not directly threatened during the event. Furthermore, the belief that LGBTQIA+ people pose a danger to children is unfounded; studies show that they can be positive role models, just like their straight and cisgender counterparts, and such claims only serve to perpetuate harmful stereotypes without any evidence.",NGO + Fact-Checkers,LGBTQIA+ community,"[204, 222, 225, 251]",1530.0,NGO,https://croatian.leadstories.com/hoax-alert/2023/06/fact-check-zagreb-pride-reveller-was-not-naked-and-did-not-cause-harm-to-children.html,"['https://www.pgaction.org/inclusion/pdf/myths-v-realities.pdf', 'https://efcl.org/wp-content/uploads/2020/04/LGBTQ-Myth-Busting-the-LGBTQ-Community.pdf', 'https://efcl.org/wp-content/uploads/2020/04/LGBTQ-Myth-Busting-the-LGBTQ-Community.pdf', 'https://www.coolmindshk.com/en/top-5-myths-about-lgbt-mental-health/']","['15', '13', '16', '5']",0.111
2449,Did you see that video of a woman slapping a guy on the bus? They always play the victims but look at them! They're violent too!,"While it's true that the video depicts a woman reacting violently to unwanted behavior, it's crucial to recognize that violence can occur across all genders and that men also face significant challenges, including higher rates of workplace accidents and conflict-related casualties. However, women experience violence in a more pervasive and systemic manner, with alarming statistics showing that one in three women will experience physical or sexual violence in their lifetime, highlighting the necessity of addressing these issues with empathy and understanding rather than perpetuating harmful stereotypes.","While it's true that the video depicts a woman reacting violently to unwanted behavior, it's crucial to recognize that violence can occur across all genders and that men also face significant challenges, including higher rates of workplace accidents and conflict-related casualties. However, women experience violence in a more pervasive and systemic manner, with alarming statistics showing that one in three women will experience physical or sexual violence in their lifetime, highlighting the necessity of addressing these issues with empathy and understanding rather than perpetuating harmful stereotypes.",NGO + Fact-Checkers,women,"[147, 180]",1152.0,FC,https://www.boomlive.in/fact-check/woman-slaps-muslim-man-in-bus-video-viral-fact-check-15053,"['https://developmenteducation.ie/wp-content/uploads/2021/03/Mythbuster-Womens-Rights-web.pdf', 'https://safeandequal.org.au/understanding-family-violence/myths/#']","['8', '9']",0.0
1942,Did you see that video of a woman slapping a guy on the bus? They always play the victims but look at them! They're violent too!,"It's important to recognize that while violence can affect people of all genders, the experiences and impacts of this violence vary significantly. Women, in particular, face a disproportionate amount of violence throughout their lives, often stemming from deeply embedded societal issues that need to be addressed with compassion and understanding.","It's important to recognize that while violence can affect people of all genders, the experiences and impacts of this violence vary significantly. Women, in particular, face a disproportionate amount of violence throughout their lives. This violence often stems from deeply embedded societal issues that require compassion and understanding to address.",NGO,women,"[147, 180]",,NGO,,"['https://developmenteducation.ie/wp-content/uploads/2021/03/Mythbuster-Womens-Rights-web.pdf', 'https://safeandequal.org.au/understanding-family-violence/myths/#']","['8', '9']",0.22
2224,Did you see that video of a woman slapping a guy on the bus? They always play the victims but look at them! They're violent too!,"The claim that women are inherently violent and that they frequently play the victim is misleading. The specific incident you referenced is an old video from Pakistan, in which the woman was responding to inappropriate behavior, highlighting the need to address harassment rather than suggesting that women are violent.","The claim that women are inherently violent and that they frequently play the victim is misleading. The specific incident you referenced is an old video from Pakistan, in which the woman was responding to inappropriate behavior, highlighting the need to address harassment rather than suggesting that women are violent.",Fact-Checkers,women,,1152.0,FC,https://www.boomlive.in/fact-check/woman-slaps-muslim-man-in-bus-video-viral-fact-check-15053,,,0.0
2403,Did you see that video of Biden vowing to open our borders to immigrants? Helping to destroy America one day at a time.,"Misunderstanding the context of Biden's remarks can lead to misconceptions about immigration policies. He emphasized the historical role of immigrants in America's strength, and the reality is that migrants come primarily to seek safety, work, and family unity, contributing positively to our communities and economy rather than destroying them.","Misunderstanding the context of Biden's remarks can lead to misconceptions about immigration policies. He emphasized the historical role of immigrants in America's strength, and the reality is that migrants come primarily to seek safety, work, and family unity, contributing positively to our communities and economy rather than destroying them.",NGO + Fact-Checkers,migrants,"[51, 93, 103, 105]",4216.0,NGO,https://leadstories.com/hoax-alert/2023/12/fact-check-video-does-not-show-biden-vowing-to-open-us-borders-to-unrelenting-stream-of-immigration.html,"['https://edmo.eu/publications/disinformers-use-similar-arguments-and-techniques-to-steer-hate-against-migrants-from-ukraine-or-the-global-south-2/#:~:text=FALSE%20NARRATIVE%20%231%20%E2%80%93%20Migrants%20are,a%20danger%20for%20European%20societies.', 'https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration']","['2a', '6', '5', '7']",0.0
2368,Did you see that video of Biden vowing to open our borders to immigrants? Helping to destroy America one day at a time.,"It's important to recognize that the narrative around immigrants opening borders and harming the country is rooted in misinformation. In reality, immigrants primarily come to the U.S. seeking safety, family reunification, or work opportunities, and statistics show they are less likely to commit crimes than native-born citizens, contributing positively to the social and economic fabric of our communities.","The narrative around immigrants opening borders and harming the country is rooted in misinformation. In reality, immigrants primarily come to the U.S. seeking safety, family reunification, or work opportunities, and statistics show they are less likely to commit crimes than native-born citizens, contributing positively to the social and economic fabric of our communities.",NGO,migrants,"[51, 93, 103, 105]",,NGO,,"['https://edmo.eu/publications/disinformers-use-similar-arguments-and-techniques-to-steer-hate-against-migrants-from-ukraine-or-the-global-south-2/#:~:text=FALSE%20NARRATIVE%20%231%20%E2%80%93%20Migrants%20are,a%20danger%20for%20European%20societies.', 'https://iine.org/2024/04/dispelling-10-common-myths-about-immigrants-and-refugees/', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration']","['2a', '6', '5', '7']",0.103
2234,Did you see that video of Biden vowing to open our borders to immigrants? Helping to destroy America one day at a time.,"The claim that Biden vowed to open U.S. borders to immigrants is misleading, as his comments were taken out of context from a 2015 event where he discussed America's identity as a ""nation of immigrants"" and the strength derived from its diversity. Biden's statements reflect his belief in the historical significance of immigration rather than a policy directive to open borders.","The claim that Biden vowed to open U.S. borders to immigrants is misleading, as his comments were taken out of context from a 2015 event where he discussed America's identity as a ""nation of immigrants"" and the strength derived from its diversity. Biden's statements reflect his belief in the historical significance of immigration rather than a policy directive to open borders.",Fact-Checkers,migrants,,4216.0,FC,https://leadstories.com/hoax-alert/2023/12/fact-check-video-does-not-show-biden-vowing-to-open-us-borders-to-unrelenting-stream-of-immigration.html,,,0.0
1937,Did you see that video of the Muslim rally in New York? This is no place to claim Sharia rights. You are not welcome here!,"It's important to recognize that Sharia law is often misunderstood; it serves as a moral and ethical guide for many Muslims rather than a rigid legal system, and it does not supersede U.S. law. Many Muslims in the U.S. share values of equality, justice, and compassion that resonate deeply with the principles of democracy and coexistence that Americans cherish.","Islam shares its roots with Judaism and Christianity as one of the three Abrahamic faiths, and its core teachings align closely with values familiar to many in the West. The Quran includes stories and principles found in the Bible, such as the story of Moses, emphasizing common ground rather than division. Moreover, the Prophet Muhammad advocated for values like equality, justice, sincerity, and forgiveness—virtues deeply embedded in Western ethics. This common moral foundation illustrates that Muslims seek coexistence and respect, not the imposition of foreign laws like Sharia on American society.

",NGO,muslims,"[27, 29]",,NGO,,"['https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/']","['3', '2']",1.356
2263,Did you see that video of the Muslim rally in New York? This is no place to claim Sharia rights. You are not welcome here!,"The claim that the rally in New York was a ""Muslim rally … demanding their Sharia Rights"" is false; it was actually an interdenominational demonstration organized by Muslim, Jewish, and Christian groups against Islamophobia and hate. The video being referenced has been inaccurately described and shared widely, but it does not represent the true purpose of the event, which was focused on promoting tolerance and ending racism.","The claim that the rally in New York was a ""Muslim rally … demanding their Sharia Rights"" is false; it was actually an internationall demonstration organized several religious and cultural organizations, like Muslim, Jewish and Christian groups, against Islamophobia and hate, after a mass shooting that killed 50 people in the two New Zeland mosques. The video being referenced has been inaccurately described and shared widely, but it does not represent the true purpose of the event, which was focused on promoting tolerance and ending racism.",Fact-Checkers,muslims,,2449.0,FC,https://www.factcheck.org/2019/04/deceptive-facebook-post-distorts-rally-against-hate/,,,0.358
2142,Did you see that video of the Muslim rally in New York? This is no place to claim Sharia rights. You are not welcome here!,"The rally you are referring to was not about demanding Sharia rights but was actually a demonstration against Islamophobia, supported by a diverse group of Muslim, Jewish, and Christian organizations. Misrepresenting such events only feeds into harmful stereotypes and misinformation; in reality, Sharia law is more about personal guidance for Muslims rather than a legal framework intended to govern others, and no U.S. court has ever ruled based on it.","The rally you are referring to was not about demanding Sharia rights but was actually a demonstration against Islamophobia, supported by a diverse group of Muslim, Jewish, and Christian organizations. Misrepresenting such events only feeds into harmful stereotypes and misinformation; in reality, Sharia law is more about personal guidance for Muslims rather than a legal framework intended to govern others, and no U.S. court has ever ruled based on it.",NGO + Fact-Checkers,muslims,"[27, 29]",2449.0,FC,https://www.factcheck.org/2019/04/deceptive-facebook-post-distorts-rally-against-hate/,"['https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/']","['3', '2']",0.0
2488,Did you see that video of the World Cup opening in Qatar with kids reciting the Quran? Unbelievable how Muslims are trying to push their religion on everyone!,"The opening of the World Cup featuring children reciting the Quran highlights the beauty of cultural exchange, not a push to impose beliefs. It's important to remember that Muslims, like people of all faiths, can share their traditions while respecting others, as the Quran emphasizes the dignity and worth of every individual, regardless of their background.","I don't know about this event in particular, but similar occasions only highlight the beauty of cultural exchange, not a push to impose beliefs. It's important to keep in mind that Muslims, like people of all faiths, can share their traditions while still respecting others, as the Quran emphasizes the dignity and worth of every individual, regardless of their background.",NGO,muslims,"[27, 32]",,NGO,,"['https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/']","['3', '5']",0.304
2666,Did you see that video of the World Cup opening in Qatar with kids reciting the Quran? Unbelievable how Muslims are trying to push their religion on everyone!,"It's important to clarify that the video in question was not from the World Cup opening but from a previous stadium inauguration, demonstrating how misinformation can shape perceptions. Furthermore, the Quran encourages respect for all faiths and emphasizes the protection of religious sites, highlighting that Islam promotes coexistence rather than imposing beliefs on others.","It's important to clarify that the video in question was not from the World Cup opening but from a previous stadium inauguration, demonstrating how misinformation can shape perceptions. Furthermore, the Quran encourages respect for all faiths and emphasizes the protection of religious sites, highlighting that Islam promotes coexistence rather than imposing beliefs on others.",NGO + Fact-Checkers,muslims,"[27, 32]",710.0,NGO,https://apnews.com/article/fact-check-world-cup-qatar-quran-314063624685,"['https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/']","['3', '5']",0.0
